City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Adrar,MR,2021-07-31 17:58:57,20.5022,-10.0711,103.3,18,72,8.19
118,Kumluca,TR,2021-07-31 17:58:57,36.3703,30.2869,89.87,35,0,7.83
119,Katsuura,JP,2021-07-31 17:58:58,35.1333,140.3,81.1,86,40,4.63
120,Plettenberg Bay,ZA,2021-07-31 17:58:58,-34.0527,23.3716,60.82,51,52,3.62
121,Qaqortoq,GL,2021-07-31 17:58:58,60.7167,-46.0333,45.46,85,85,4.43
122,Valparaiso,CL,2021-07-31 17:58:59,-33.0393,-71.6273,61.72,64,100,3.44
123,Artvin,TR,2021-07-31 17:58:59,41.1667,41.8333,70.88,95,15,2.04
124,Diamantina,BR,2021-07-31 17:58:59,-18.2494,-43.6003,68.16,45,37,6.96
125,Luanda,AO,2021-07-31 17:57:38,-8.8368,13.2343,71.15,85,1,15.39
126,Talnakh,RU,2021-07-31 17:59:00,69.4865,88.3972,54.01,80,54,15.05
127,Bredasdorp,ZA,2021-07-31 17:59:00,-34.5322,20.0403,52.92,87,95,3.44
128,Mareeba,AU,2021-07-31 17:59:01,-17.0,145.4333,62.44,96,69,2.89
129,Luderitz,NA,2021-07-31 17:59:01,-26.6481,15.1594,71.15,28,0,8.34
130,Necochea,AR,2021-07-31 17:59:01,-38.5473,-58.7368,53.04,60,63,11.68
131,Tasiilaq,GL,2021-07-31 17:59:02,65.6145,-37.6368,44.28,77,100,3.58
132,Fort Nelson,CA,2021-07-31 17:59:02,58.8053,-122.7002,71.19,56,1,4.61
133,Ribeira Grande,PT,2021-07-31 17:59:03,38.5167,-28.7,77.4,73,20,13.8
134,Santa Isabel,BR,2021-07-31 17:59:03,-23.3156,-46.2214,65.91,43,78,6.22
135,Verkhoyansk,RU,2021-07-31 17:54:35,67.5447,133.385,59.77,71,63,4.21
136,Luau,AO,2021-07-31 17:59:03,-10.7073,22.2247,68.74,22,0,4.43
137,Homer,US,2021-07-31 17:59:04,59.6425,-151.5483,60.76,84,95,3.0
138,Djibo,BF,2021-07-31 17:59:04,14.1022,-1.6306,90.9,44,89,9.48
139,Udachnyy,RU,2021-07-31 17:59:05,66.4167,112.4,63.39,39,8,5.26
140,Catuday,PH,2021-07-31 17:59:05,16.2923,119.8062,80.76,83,100,17.98
