City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
372,Flin Flon,CA,88.3,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
374,Bolshaya Dzhalga,RU,79.41,clear sky,45.9695,42.6966,
375,Misratah,LY,85.6,clear sky,32.3754,15.0925,فندق الماسة
376,Da Nang,VN,87.78,light rain,16.0678,108.2208,Sun River Hotel
377,Madinat Sittah Uktubar,EG,89.2,clear sky,29.8167,31.05,Happy Kennel Academy
378,Saint Anthony,US,80.94,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
379,Casper,US,83.8,overcast clouds,42.8666,-106.3131,Ramkota Hotel
383,Mayo,US,82.65,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
385,Sao Miguel Do Araguaia,BR,82.26,clear sky,-13.275,-50.1628,Hotel Executivo Palace
388,Gillette,US,86.92,haze,44.2911,-105.5022,National 9 Inn - Gillette WY
396,Sechelt,CA,83.28,overcast clouds,49.4664,-123.7694,The Driftwood Inn
397,Korla,CN,75.42,overcast clouds,41.7597,86.1469,Gulisitan Hotel
398,Kieta,PG,80.53,clear sky,-6.2167,155.6333,Uruna Bay Retreat
401,Palmeirais,BR,88.54,overcast clouds,-5.9778,-43.0633,Pousada LS
404,Mandera,KE,77.77,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
407,Cosoveni,RO,84.02,clear sky,44.25,23.9333,LA CABANĂ
408,Cartagena,CO,84.83,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
415,Namatanai,PG,80.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
416,Kloulklubed,PW,83.64,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
417,Alexandria,EG,81.03,clear sky,31.2156,29.9553,Royal Crown Hotel
418,Kalmunai,LK,80.47,overcast clouds,7.4167,81.8167,VS Villa
420,Sur,OM,89.64,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
421,Palauig,PH,81.39,light rain,15.435,119.9045,Myhousebythesea
424,Pathein,MM,77.13,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
425,Sao Filipe,CV,76.01,clear sky,14.8961,-24.4956,Hotel Xaguate
428,Govindgarh,IN,81.79,overcast clouds,27.5,76.9833,Manoj Rajput
430,Bud,US,80.55,clear sky,39.447,-86.1758,Ted McQuinn Trust
435,Bireun,ID,78.85,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
436,Iquitos,PE,77.61,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
443,Bhabua,IN,78.96,broken clouds,25.05,83.6167,Kohinoor Hotel
445,Oum Hadjer,TD,77.7,overcast clouds,13.2954,19.6966,
446,Pacifica,US,90.73,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
448,Gurupi,BR,81.1,clear sky,-11.7292,-49.0686,Via Norte Hotel
453,Port-Gentil,GA,76.53,overcast clouds,-0.7193,8.7815,Fengshui Residence
456,Ocnita,RO,82.0,clear sky,44.9833,25.55,La Iarba Verde
457,Chhachhrauli,IN,80.38,scattered clouds,30.25,77.3667,Sharma Traders
458,Akdepe,TM,75.2,clear sky,42.0551,59.3788,Мой дом
459,Alwaye,IN,76.95,mist,10.1167,76.35,Hotel Airlink Castle
461,Ucluelet,CA,93.04,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
462,Mabay,PH,78.39,overcast clouds,6.0577,124.4666,Bautista Lodging House
464,Bandarbeyla,SO,82.24,few clouds,9.4942,50.8122,JABIR HOTEL
465,Sakaiminato,JP,78.73,overcast clouds,35.55,133.2333,味処・民宿 まつや
467,Bull Savanna,JM,83.46,scattered clouds,17.8868,-77.5902,Big Red's
474,Samarai,PG,77.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
480,Valley City,US,83.39,haze,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
484,La Ronge,CA,80.56,few clouds,55.1001,-105.2842,Northland Motor Hotel
486,Rajaldesar,IN,81.34,overcast clouds,28.0333,74.4667,J. Ghorela Place
488,Sangin,AF,82.17,clear sky,32.0728,64.8359,
